good.names,order,family,genus,color_low,color_most,color_high,orn_height_min,orn_height_mean,orn_height_max,orn_diam_min,orn_diam_mean,orn_diam_max,min_wall_thickness,mean_wall_thickness,max_wall_thickness,dim1.min2,dim1.min,dim1.max,dim1.max2,dim2.min2,dim2.min,dim2.max,dim2.max2
Kuklospora_spinosa,Diversisporales,Acaulosporaceae,Kuklospora,0,1,2,2,2.5,3,0.5,0.5,0.5,5,6.25,8.5,100,100,250,250,100,100,250,250
Microkamienskia_divaricata,Glomerales,Glomeraceae,Microkamienskia,0,0,0,0,0,0,0,0,0,1.4,1.9,2.4,10,22,22,29,10,22,22,29
Microkamienskia_perpusilla,Glomerales,Glomeraceae,Microkamienskia,0,0,0,0,0,0,0,0,0,1.5,2.2,2.9,10,24,24,30,10,24,24,30
Microkamienskia_peruviana,Glomerales,Glomeraceae,Microkamienskia,0,0,0,0,0,0,0,0,0,1.2,1.9,2.6,16,16,31,36,13,13,29,35
Nanoglomus_plukenetiae,Glomerales,Glomeraceae,Nanoglomus,0,0,0,0,0,0,0,0,0,1.8,2.5,3.2,20,25,36,45,20,25,36,45
Otospora_bareae,Diversisporales,Diversisporaceae,Otospora,0,0,2,0,0,0,0,0,0,1.8,2.2,2.7,150,150,200,200,150,150,200,200
Pacispora_chimonobambusae,Diversisporales,Pacisporaceae,Pacispora,0,1,1,NA,12,NA,NA,,,6.5,7.5,8.5,110,110,180,180,110,110,180,180
Pacispora_coralloidae,Diversisporales,Pacisporaceae,Pacispora,0,1,2,2,3.5,5,2.5,3,5,7.8,11.15,14.5,110,122,150,165,110,122,150,165
Pacispora_franciscana,Diversisporales,Pacisporaceae,Pacispora,0,1,1,0,0,0,0,0,0,4.1,8.65,13.2,106,120,171,191,106,120,171,191
Pacispora_patagonica,Diversisporales,Pacisporaceae,Pacispora,0,1,2,NA,3,NA,NA,,NA,NA,NA,NA,98,136,136,187,98,136,136,187
Pacispora_robigina,Diversisporales,Pacisporaceae,Pacispora,4,5,5,0,0,0,0,0,0,9.3,13.05,16.8,100,125,155,161,100,125,155,161
Pacispora_scintillans,Diversisporales,Pacisporaceae,Pacispora,0,1,1,1,1.6,2.8,0.7,1.4,2.8,4.2,6.85,9.5,180,180,210,210,180,180,210,210
Archaeospora_spainii_morphA,Archaeosporales,Archaeosporaceae,Archaeospora,1,1,2,NA,0,NA,NA,,NA,12.5,15.45,18.4,52,52,80,80,51,51,77,77
Archaeospora_spainii_morphG,Archaeosporales,Archaeosporaceae,Archaeospora,0,0,0,0,0,0,0,0,0,1.1,1.7,2.3,22,22,33,33,22,22,37,37
Paradentiscutata_bahiana,Diversisporales,Gigasporaceae,Paradentiscutata,4,5,5,0.8,2,2.5,1,2.1-2.5,5,11.2,13.25,15.3,190,190,260,260,190,190,260,260
Paradentiscutata_maritima,Diversisporales,Gigasporaceae,Paradentiscutata,2,4,5,1.5,2,2.5,1.2,1.9,2.6,10.8,15.1,19.4,150,150,260,260,150,150,260,260
Paraglomus_albidum,Glomerales,Glomeraceae,Paraglomus,0,1,2,0,0,0,0,0,0,0.5,4.25,8,85,95,168,198,85,95,168,177
Paraglomus_bolivianum,Paraglomerales,Paraglomeraceae,Paraglomus,2,4,4,0,0,0,0,0,0,6,8.25,10.5,70,70,95,95,70,70,95,95
Paraglomus_brasilianum,Paraglomerales,Paraglomeraceae,Paraglomus,0,0,0,0.1,0.3,0.5,NA,,NA,2.1,3.65,5.2,47.5,60,80,112.5,47.5,60,80,112.5
Paraglomus_laccatum,Paraglomerales,Paraglomeraceae,Paraglomus,0,0,1,0,0,0,0,0,0,6.5,7.65,8.8,50,87,87,103,50,87,87,103
Innospora_majewskii,Paraglomerales,Paraglomeraceae,Innospora,0,0,2,0,0,0,0,0,0,3.5,4.7,5.9,35,63,63,78,35,63,63,78
Paraglomus_occidentale,Paraglomerales,Paraglomeraceae,Paraglomus,0,0,0,0,0,0,0,0,0,3.7,5.8,7.8,59,69,84,92,59,69,84,92
Paraglomus_occultum,Paraglomerales,Paraglomeraceae,Paraglomus,0,1,1,0,0,0,0,0,0,0.7,2.45,4.2,60,72,72,100,60,72,72,100
Paraglomus_pernabucanum,Paraglomerales,Paraglomeraceae,Paraglomus,1,1,2,0.5,0.8,1.1,0.5,0.75,1,2.9,3.5,4.2,66,66,95,95,62,62,75,75
Paraglomus_turpe,Paraglomerales,Paraglomeraceae,Paraglomus,0,0,0,0,0,0,0,0,0,2.2,8,13.8,29,29,48,48,32,32,49,49
Pervetustus_simplex,Paraglomerales,Pervetustaceae,Pervetustus,0,0,0,0,0,0,0,0,0,3.8,6.6,9.6,17,51,51,67,17,51,51,67
Racocetra_alborosea,Diversisporales,Gigasporaceae,Racocetra,0,0,4,0,0,0,0,0,0,5.5,11,16.5,204,204,287,287,204,204,287,287
Racocetra_beninensis,Diversisporales,Gigasporaceae,Racocetra,1,1,1,0.9,2.1,2.8,0.9,,3.8,11.9,15.8,19.7,210,210,320,320,210,210,320,320
Racocetra_castanea,Diversisporales,Gigasporaceae,Racocetra,1,1,5,0,0,0,0,0,0,14,31,42,169,169,369,369,176,176,372,372
Racocetra_coralloidea,Diversisporales,Gigasporaceae,Racocetra,5,5,6,2,2,2,0.5,,6,8,11.5,15,308,308,393,393,324,324,454,454
Racocetra_crispa,Diversisporales,Gigasporaceae,Racocetra,5,6,6,5.2,9.5,18,5,15,41,14.7,20,24.2,339,339,495,495,343,343,509,509
Racocetra_fulgida,Diversisporales,Gigasporaceae,Racocetra,0,1,2,0,0,0,0,0,0,7.5,8.75,10,160,160,240,240,160,160,245,245
Racocetra_gregaria,Diversisporales,Gigasporaceae,Racocetra,4,5,6,3,7.5,12,1,,7,11,13,15,250,250,448,448,250,250,448,448
Racocetra_minuta,Diversisporales,Gigasporaceae,Racocetra,5,5,6,3,3,3,1,1,1,3.5,4.75,6,97,97,180,180,97,97,180,180
Racocetra_persica,Diversisporales,Gigasporaceae,Racocetra,2,4,5,0.25,0.375,0.5,0.5,0.5,0.5,3,7.4,11.8,270,270,354,354,281,281,384,384
Racocetra_tropicana,Diversisporales,Gigasporaceae,Racocetra,2,2,5,0,0,0,0,0,0,6,9.25,12.5,170,190,265,265,170,190,265,265
Racocetra_undulata,Diversisporales,Gigasporaceae,Racocetra,1,2,2,0,0,0,0,0,0,5.8,6.8,7.8,195,195,225,225,195,195,225,225
Racocetra_verrucosa,Diversisporales,Gigasporaceae,Racocetra,1,2,5,0.5,1,1.5,0.5,1,1.5,5.5,11.25,17,220,220,476,476,220,220,476,476
Racocetra_weresubiae,Diversisporales,Gigasporaceae,Racocetra,0,0,4,0,0,0,0,0,0,7.6,16.8,26,125,125,265,265,135,135,414,414
Redeckera_fragilis,Diversisporales,Diversisporaceae,Redeckera,2,5,5,0,0,0,0,0,0,2.5,2.85,3.2,53,53,73,73,49,49,62,62
Redeckera_fulvum,Diversisporales,Diversisporaceae,Redeckera,0,2,5,0,0,0,0,0,0,2,3,4,70,120,120,160,50,50,80,80
Redeckera_megalocarpa,Diversisporales,Diversisporaceae,Redeckera,0,0,2,0,0,0,0,0,0,1.7,2.85,4,56,65,95,115,38,38,57,62
Redeckera_pulvinatum,Diversisporales,Diversisporaceae,Redeckera,0,2,5,0,0,0,0,0,0,2,3.5,5,65,65,82,100,65,65,90,105
Rhizophagus_aggregatus,Glomerales,Glomeraceae,Rhizophagus,0,2,5,0,0,0,0,0,0,1,5.5,10,67.2,87,87,110.4,57.6,72,72,79.2
Rhizophagus_antarcticus,Glomerales,Glomeraceae,Rhizophagus,2,2,5,0,0,0,0,0,0,7.5,9.75,12,50,50,70,70,50,50,70,70
Rhizophagus_arabicus,Glomerales,Glomeraceae,Rhizophagus,0,2,2,0,0,0,0,0,0,2.4,4.2,8,33,65,65,105,33,65,65,105
Rhizophagus_clarus,Glomerales,Glomeraceae,Rhizophagus,0,0,2,5,5,5,NA,,NA,7,19,31,68,190,190,290,68,190,190,290
Rhizophagus_custos,Glomerales,Glomeraceae,Rhizophagus,0,2,2,0,0,0,0,0,0,2,5.7,11,42,42,90,90,42,42,90,90
Rhizophagus_dalpeae,Glomerales,Glomeraceae,Rhizophagus,4,4,5,0,0,0,0,0,0,6.6,8.8,14.3,86,100,100,121,86,100,100,121
Oehlia_diaphana,Glomerales,Glomeraceae,Oehlia,0,1,1,0,0,0,0,0,0,2.2,5.2,7.8,50,90,90,130,50,90,90,130
Rhizophagus_dunensis,Glomerales,Glomeraceae,Rhizophagus,0,0,0,0,0,0,0,0,0,5.5,8.5,14.6,39,99,99,125,39,99,99,125
Rhizophagus_fasciculatus,Glomerales,Glomeraceae,Rhizophagus,0,2,5,0,0,0,0,0,0,4,9,14,75,75,105,105,35,35,100,100
Rhizophagus_intraradices,Glomerales,Glomeraceae,Rhizophagus,0,2,5,0,0,0,0,0,0,3,9,15,40.5,98.5,98.5,190.5,40.5,98.5,98.5,190.5
Rhizophagus_invermaius,Glomerales,Glomeraceae,Rhizophagus,0,5,5,0,0,0,0,0,0,4,5.85,7.7,50,50,75,75,50,50,75,75
Rhizophagus_irregularis,Glomerales,Glomeraceae,Rhizophagus,0,0,2,0,0,0,0,0,0,2.6,5,10.9,60,60,130,130,80,80,240,240
Rhizophagus_litchii,Glomerales,Glomeraceae,Rhizophagus,5,5,6,0,0,0,0,0,0,NA,NA,NA,66.6,66.6,100,100,100,100,158.3,158.3
Rhizophagus_maiae,Glomerales,Glomeraceae,Rhizophagus,2,2,5,0,0,0,0,0,0,7.6,17.5,27.6,63,72,72,82,63,72,72,82
Rhizophagus_manihotis,Glomerales,Glomeraceae,Rhizophagus,0,1,2,0,0,0,0,0,0,10.5,18.25,26,145,170,235,450,145,170,235,450
Rhizophagus_melanus,Glomerales,Glomeraceae,Rhizophagus,5,5,6,0,0,0,0,0,0,10.8,14.6,18.3,137,165,226,285,137,165,226,285
Rhizophagus_marattiacearum,Glomerales,Glomeraceae,Rhizophagus,0,0,2,NA,NA,NA,NA,NA,NA,6,6,6,32,32,45,45,32,32,45,45
Rhizophagus_natalensis,Glomerales,Glomeraceae,Rhizophagus,1,2,2,0,0,0,0,0,0,8.9,13.5,22.8,75,101,101,133,75,101,101,133
Rhizophagus_prolifer,Glomerales,Glomeraceae,Rhizophagus,0,0,0,0,0,0,0,0,0,2.2,4.3,6.5,22,40,66,76,22,40,66,76
Rhizophagus_silesianum,Glomerales,Glomeraceae,Rhizophagus,1,2,2,0,0,0,0,0,0,5.3,7.8,10.6,65,111,111,138,65,111,111,138
Rhizophagus_variabilis,Glomerales,Glomeraceae,Rhizophagus,2,2,5,0,0,0,0,0,0,2.1,5.4,6.7,30,70,185,185,30,65,160,160
Rhizophagus_vesiculifer,Glomerales,Glomeraceae,Rhizophagus,2,2,2,0,0,0,0,0,0,7,11.5,16,65,65,80,80,65,65,70,70
Sacculospora_baltica,Diversisporales,Sacculosporaceae,Sacculospora,2,2,4,0.6,0.7,0.8,NA,,NA,7.3,9.8,12.3,110,177,177,220,110,177,177,220
Sacculospora_felinovii,Diversisporales,Sacculosporaceae,Sacculospora,1,2,4,1.8,2.55,3.3,1,2.5,4,3.6,5.2,7.3,100,171,171,230,100,171,171,230
Sclerocarpum_amazonicum,Glomerales,Glomeraceae,Sclerocarpum,0,0,0,0,0,0,0,0,0,5.6,8.8,10.5,35,48,48,58,35,48,48,58
Sclerocystis_clavispora,Glomerales,Glomeraceae,Sclerocystis,5,5,5,1,1.25,1.5,1,,3,3.9,6.2,8.5,140,140,185,185,20,25,40,50
Sclerocystis_liquidambaris,Glomerales,Glomeraceae,Sclerocystis,5,5,6,0,0,0,0,0,0,2,7,25,27.5,40,65,65,55,72.5,132.5,132.5
Sclerocystis_pubescens,Glomerales,Glomeraceae,Sclerocystis,0,0,2,0,0,0,0,0,0,3,4.5,6,25,31,31,36,25,31,31,36
Sclerocystis_rubiformis,Glomerales,Glomeraceae,Sclerocystis,5,5,6,NA,-0.1,NA,NA,,NA,3,5.3,7.6,40,52,52,70,40,52,52,70
Sclerocystis_sinuosa,Glomerales,Glomeraceae,Sclerocystis,5,5,5,0,0,0,0,0,0,1.3,3.1,4.9,45,45,118,118,30,30,83,83
Scutellospora_alterata,Diversisporales,Gigasporaceae,Scutellospora,1,2,2,0,0,0,0,0,0,7.4,9.9,12.4,155,155,255,255,150,150,225,225
Scutellospora_arenicola,Diversisporales,Gigasporaceae,Scutellospora,0,2,4,0,0,0,0,0,0,7.1,13.55,20,160,240,240,360,120,220,220,310
Scutellospora_armeniaca,Diversisporales,Gigasporaceae,Scutellospora,2,2,5,0,0,0,0,0,0,12.4,19.8,27.2,140,196,196,240,140,196,196,240
Scutellospora_aurigloba,Diversisporales,Gigasporaceae,Scutellospora,0,2,2,0,0,0,0,0,0,7,12,17,323,323,438,438,323,323,469,469
Scutellospora_biornata,Diversisporales,Gigasporaceae,Scutellospora,2,5,5,2,2,2,0.5,1,3,8,11.5,15,120,260,450,493,120,260,450,493
Scutellospora_calospora,Diversisporales,Gigasporaceae,Scutellospora,0,2,3,0,0,0,0,0,0,3,4,5,114,114,285,511,110,110,412,511
Dentiscutata_cerradensis,Diversisporales,Gigasporaceae,Dentiscutata,0,0,1,0.1,0.8,1.5,0.1,,1,13,18.75,24.5,167,230,363,363,167,230,363,363
Scutellospora_crenulata,Diversisporales,Gigasporaceae,Scutellospora,2,5,5,3,4.5,6,3.6,9.8,16,5.3,8.65,12,133,133,136,136,133,133,136,136
Scutellospora_dipapillosa,Diversisporales,Gigasporaceae,Scutellospora,2,4,5,0.5,1,1.5,0.5,0.75,1,7.5,12,16.5,135,135,160,160,135,135,180,180
Scutellospora_dipurpurescens,Diversisporales,Gigasporaceae,Scutellospora,2,2,4,0,0,0,0,0,0,6,20.75,35.5,152,197,197,240,152,197,197,240
Scutellospora_gilmorei,Diversisporales,Gigasporaceae,Scutellospora,0,0,0,0,0,0,0,0,0,18.4,18.4,18.4,204,204,320,320,204,204,320,320
Scutellospora_hawaiiensis,Diversisporales,Gigasporaceae,Scutellospora,2,4,5,0,0,0,0,0,0,10.3,14.1,17.9,200,240,240,360,180,230,230,290
Dentiscutata_nigra,Diversisporales,Gigasporaceae,Dentiscutata,5,6,6,NA,-0.1,NA,7,8.5,10,7,8.5,10,297,297,500,1050,297,297,500,1050
Scutellospora_nodosa,Diversisporales,Gigasporaceae,Scutellospora,0,2,2,3.5,5,6.5,7,8.75,10.5,13.4,20.55,27.7,160,243,243,270,160,243,243,270
Scutellospora_ovalis,Diversisporales,Gigasporaceae,Scutellospora,0,0,2,0,0,0,0,0,0,12.7,15.1,17.3,90,90,110,110,175,275,260,260
Scutellospora_pellucida,Diversisporales,Gigasporaceae,Cetraspora,0,0,0,0,0,0,0,0,0,7.8,19.4,31,107,107,183,183,141,141,241,328
Scutellospora_pernambucana,Diversisporales,Gigasporaceae,Scutellospora,2,2,5,0,0,0,0,0,0,7.1,9.8,12.5,110,110,145,145,110,110,145,145
Scutellospora_projecturata,Diversisporales,Gigasporaceae,Scutellospora,2,2,5,NA,3,NA,NA,NA,NA,4.5,5.75,7,102,102,174,174,108,108,181,181
Scutellospora_reticulata,Diversisporales,Gigasporaceae,Scutellospora,2,4,5,NA,NA,NA,0.3,0.9,1.5,9.8,13.25,16.7,208,208,470,470,188,188,340,340
Dentiscutata_reticulata,Diversisporales,Gigasporaceae,Scutellospora,2,4,5,0.5,0.75,1,1,4,7,10,13,16,208,208,470,470,188,188,340,340
Scutellospora_rubra,Diversisporales,Gigasporaceae,Scutellospora,4,4,5,0,0,0,0,0,0,4.7,9.25,13.8,140,140,220,220,140,140,220,220
Dentiscutata_savannicola,Diversisporales,Gigasporaceae,Dentiscutata,0,1,5,0,0,0,0,0,0,9.1,9.1,9.1,288,288,581,581,288,214,364,581
Scutellospora_scutata,Diversisporales,Gigasporaceae,Scutellospora,0,1,5,0,0,0,0,0,0,8.5,21.95,35.4,350,532,532,667,350,530,530,713
Scutellospora_spinosissima,Diversisporales,Gigasporaceae,Scutellospora,2,2,4,2,3,4,NA,,NA,6.6,7.3,8,130,130,228,228,121,121,208,230
Cetraspora_striata,Diversisporales,Gigasporaceae,Cetraspora,2,2,4,0,0,0,0,0,0,7.2,10,12.8,130,130,184,184,116,116,152,152
Scutellospora_tepuiensis,Diversisporales,Gigasporaceae,Scutellospora,4,4,5,1,2,3,1,3,5,10,11.5,13,159,190,191,219,162,190,191,216
Scutellospora_tricalypta,Diversisporales,Gigasporaceae,Scutellospora,5,5,6,10,10,10,2,2,2,17,17,17,303,303,387,387,303,303,387,387
Scutellospora_trirubiginopa,Diversisporales,Gigasporaceae,Scutellospora,0,0,0,0.5,0.5,0.5,0.5,0.75,1,9,11,13,258,258,268,268,258,258,268,268
Septoglomus_africanum,Glomerales,Glomeraceae,Septoglomus,2,2,5,NA,3,NA,NA,,NA,2.5,4.8,11.3,60,87,87,125,60,87,87,125
Septoglomus_altomontanum,Glomerales,Glomeraceae,Septoglomus,4,5,6,0,0,0,0,0,0,6.5,7.75,9,137,137,175,208,125,125,170,204
Septoglomus_constrictum,Glomerales,Glomeraceae,Septoglomus,5,5,6,0,0,0,0,0,0,7,12,15,150,150,330,330,150,150,330,330
Septoglomus_deserticola,Glomerales,Glomeraceae,Septoglomus,4,5,5,0,0,0,0,0,0,2.3,3.8,6.1,47,54,115,115,38,52,102,102
Septoglomus_furcatum,Glomerales,Glomeraceae,Septoglomus,4,5,5,0,0,0,0,0,0,7.9,11.1,17.1,106,138,138,167,106,138,138,167
Septoglomus_fuscum,Glomerales,Glomeraceae,Septoglomus,2,4,5,0,0,0,0,0,0,3,5.4,9.5,20,47,47,90,20,47,47,90
Septoglomus_jasnowskae,Glomerales,Glomeraceae,Septoglomus,2,2,5,0,0,0,0,0,0,2.1,3.6,7,39,59,59,98,39,59,59,98
Septoglomus_mediterraneum,Glomerales,Glomeraceae,Septoglomus,4,4,6,0,0,0,0,0,0,8.9,20.1,31.3,97.6,97.6,185.2,185.2,97.6,97.6,185.2,185.2
Septoglomus_mexicanum,Glomerales,Glomeraceae,Septoglomus,4,4,4,0,0,0,0,0,0,11.2,14.5,17,154.5,202.8,202.8,228.9,154.5,202.8,202.8,228.9
Septoglomus_nakheelum,Glomerales,Glomeraceae,Septoglomus,2,4,5,0.8,1.1,1.5,NA,,NA,1.8,3.1,5.5,25,52,52,70,25,52,52,70
Septoglomus_nigrum,Glomerales,Glomeraceae,Septoglomus,1,5,6,0,0,0,0,0,0,5.7,8.4,11,90,100,155,170,95,105,165,175
Septoglomus_titan,Glomerales,Glomeraceae,Septoglomus,4,5,5,0,0,0,0,0,0,15.3,17.9,25.6,243,265,375,400,243,265,375,400
Septoglomus_turnauae,Glomerales,Glomeraceae,Septoglomus,4,5,5,0,0,0,0,0,0,7.6,14.9,24.2,110,133,133,165,110,133,133,165
Septoglomus_viscosum,Glomerales,Glomeraceae,Septoglomus,0,0,1,0,0,0,0,0,0,2,3,4,44,44,97,97,46,46,94,94
Silvaspora_neocaledonica,Glomerales,Glomeraceae,Silvaspora,0,0,1,0,0,0,0,0,0,3.8,10.5,15.5,34,40,40,46,34,40,40,46
Tricispora_nevadensis,Diversisporales,Diversisporaceae,Tricispora,2,5,5,6,12,16,0.2,2.4,3.6,7.8,11.4,15,90,90,115,115,90,90,115,115
